artist,track,msPlayed
Buffalo Springfield,Rock & Roll Woman,165846
Buffalo Springfield,Rock & Roll Woman - Mono; 2018 Remaster [Mono],168346
Buffalo Springfield,Sit Down I Think I Love You,153706
Buffalo Springfield,Uno Mundo,124266
Buzzcocks,Why Can't I Touch It? - 2001 Remastered Version,45751
Béla Bartók,"6 Roumanian Folk Dances, BB 68, Sz. 56: III. Stamping Dance",60571
Béla Fleck,Blue Mountain Hop,266007
Béla Fleck and the Flecktones,Big Country,333080
Béla Fleck and the Flecktones,The Sinister Minister,276986
CAN,Chain Reaction,68707
CAN,Deadly Doris,190360
CAN,Dizzy Dizzy,340786
CAN,Don't Say No,396440
CAN,Fall of Another Year,203946
CAN,Full Moon on the Highway,5899
CAN,Future Days,3948
CAN,Half Past One,52425
CAN,Halleluwah,11718
CAN,I Want More,212350
CAN,I'm so Green,185889
CAN,Little Star of Bethlehem,426066
CAN,Millionenspiel,55061
CAN,Moonshake,182619
CAN,Mother Sky,397533
CAN,Mushroom,19223
CAN,Oh Yeah,442946
CAN,One More Night,68101
CAN,Paperhouse,448893
CAN,Sing Swan Song,289106
CAN,Thief,303346
CASIOPEA,スペース・ロード,6316
CASIOPEA,スワロー,2034
CASIOPEA,タイム・リミット,187200
CASIOPEA,ティアーズ・オブ・ザ・スター,272600
CASIOPEA,"ドミノ・ライン - Live at Chuo Kaikan Hall, Tokyo, Feb. 1982",441773
CASIOPEA,ブラック・ジョーク,3906
CASIOPEA,"ミッドナイト・ランデブー - Live at Chuo Kaikan Hall, Tokyo, Feb. 1982",73403
CLASSICOW,Namibia Sunset,61714
Cactus,Evil - Single Version,196800
Camel,Air Born,302026
Camel,Dunkirk,325173
Camel,Epitaph,128000
Camel,Flight Of The Snow Goose,161373
Camel,Flight Of The Snow Goose - Alternate Single Edit,168266
Camel,Flight Of The Snow Goose - Single Edit,125533
Camel,Freefall,352853
Camel,Friendship,104280
Camel,Fritha,79400
Camel,Fritha Alone,90560
Camel,La princesse perdue,297000
Camel,Lady Fantasy - Medley,513727
Camel,Lunar Sea,454356
Camel,Migration,121786
Camel,Nimrodel - Medley,556320
Camel,Preparation,234373
Camel,Rhayader,181986
Camel,Rhayader - Single Edit,192946
Camel,Rhayader Alone,110493
Camel,Rhayader Goes To Town,320386
Camel,Rhayader Goes To Town - Live,307213
Camel,Sanctuary,65946
Camel,Slow Yourself Down - Remastered 2023,286546
Camel,Song Within A Song,433093
Camel,Spirit Of The Water,126053
Camel,Stationary Traveller,9388
Camel,Supertwister,198680
Camel,The Great Marsh,123800
Camel,The Great Marsh - Reprise,77453
Camel,The Snow Goose,192093
Camel,The Snow Goose / Freefall - Live,662066
Camille Saint-Saëns,Carnival of the Animals: VII. Aquarium,142293
Canned Heat,Let's Work Together,193853
Canned Heat,On The Road Again,296026
Canned Heat,On the Road Again,164863
Canned Heat,The Road Song,196200
Canned Heat,Time Was,1714
Cannonball Adderley,One For Daddy-O,137049
Captain Beefheart & His Magic Band,Her Eyes Are a Blue Million Miles,177506
Captain Beefheart & His Magic Band,Observatory Crest,212906
Captain Beefheart & His Magic Band,"Sure 'Nuff 'n' Yes, I Do",134666
Captain Beefheart & His Magic Band,This Is The Day,52095
Captain Beefheart & His Magic Band,Too Much Time,170400
Captain Beefheart & His Magic Band,Where There's Woman,128600
Captain Beefheart & His Magic Band,Zig Zag Wanderer,158800
Carly Simon,You're So Vain,56907
Carole King,So Far Away,10317
Catrin Finch,Ceffylau,323533
Cedric Harriman,Introduccion,816
Cesária Evora,Angola,99147
Cesária Evora,Petit pays,224506
Cesária Evora,Sabine Larga’m,188917
Cesária Evora,Tchintchirote,194490
Chad VanGaalen,Starlight,58037
Charles Mingus,Better Git It in Your Soul,440840
Charles Mingus,Memories Of You,20868
Charles Mingus,Moanin',370417
Charli XCX,In The City,14697
Charlie Hunter,Fine Corinthian Leather,364852
Charlie Hunter,Welcome To Frankfurt,958
Charlie Parker,Au Privave - Take 3 Master,80646
Charlie Parker,Summertime,167121
Charlie Parker Quartet,Star Eyes - Incomplete & False Start,70133
Cheb Abdelhak,Mellit,3637
Cheb Bilal,Vive Nous,2203
Cheb Kader,Raï Derli,10176
Cheb Mami,Ana mazel,8968
Cheb Mami,Haoulou,254400
Cheb Mami,Hatachi,9114
Cheb Mami,Ma vie 2 fois,247946
Cheb Tahar,KoL Lyoum Nargad Maah,23625
Cheb Tahar,Malgré malgré,25440
Cheb Tahar,Telef Aakli,245724
Cheb Tahar,Ti sbabi,351506
Cheikh Sidi Bémol,Blad e tchina,171826
Cheikh Sidi Bémol,Ma kayen walou kima l'amour,250666
Cheikha Rimitti,AOULIDI,318160
Cheikha Rimitti,C'est fini j'en ai marre,19413
Cheikha Rimitti,Chab rassi,3501
Cheikha Rimitti,"Daouni - Radio Edit, Produced By Steve Hillage",5479
Cheikha Rimitti,HAK HAK,405280
Cheikha Rimitti,MANI MAN,48680
Cheikha Rimitti,MATAHAGROUHACH,298146
Cheikha Rimitti,N'TA GOUDAMI,445680
Cheikha Rimitti,NAKHLA,376786
Cheikha Rimitti,NOUAR,377026
Cheikha Rimitti,Rassoul Allah,2023
Cheikha Rimitti,SAïDA,411986
Chet Atkins,Country Gentleman,113453
Chet Atkins,Jam Man,199493
Chet Atkins,Travelin',135733
Chet Atkins,Yes Ma'am,133933
Chet Baker,But Not For Me - Vocal Version,10890
Chet Baker,Let's Get Lost,223706
Chet Baker,My Funny Valentine,141133
Chick Corea,Love Castle,285866
Chick Corea,Return To Forever,21074
Chick Corea,Spain,65772
Chicken Shack,I'd Rather Go Blind,123221
Chicken Shack,Never Ever,161080
Chicken Shack,Pocket,202586
Chicken Shack,Sad Clown,160533
Chilly Gonzales,Manifesto,188360
Chilly Gonzales,Oregano,84666
Chillyman,Kacke im Mondlicht,7338
Chris Smither,Hundred Dollar Valentine,1108
Chris Squire,Lucky Seven,414200
Chris Thile,Independence Day,190053
Chris Thomas King,Hard Time Killing Floor Blues,162426
Chris Whitley,Poison Girl,76352
Christian Löffler,Dir Jehova,56768
Christian Löffler,Nadir,37012
"Christone ""Kingfish"" Ingram",Another Life Goes By,878
"Christone ""Kingfish"" Ingram",Fresh Out,947
Chuck Berry,"Memphis, Tennessee",58139
Chuck Berry,Roll Over Beethoven,144600
Chuck Berry,You Can't Catch Me - Single Version,162586
Circus Band,Entry Of The Gladiators - Remastered 2018,55933
City,Am Fenster,20434
Clarence Carter,The Road of Love,1021
Claude Debussy,"12 Etudes, L.136: 11. Pour les Arpèges composés",288000
Claude Debussy,"2 Arabesques, L. 66: No. 1 in E Major",232706
Claude Debussy,"Clair de Lune, L. 32",268000
Claude Debussy,"D'un cahier d'esquisses, CD 112",293160
Claude Debussy,"Debussy: 2 Arabesques, CD 74, L. 66: No. 1, Andantino con moto",271213
Claude Debussy,"Debussy: Piano Trio in G Major, L. 5: I. Andantino con moto allegro",496066
Claude Debussy,"Debussy: String Quartet in G Minor, Op. 10, CD 91, L. 85: I. Animé et très décidé",381066
Claude Debussy,"Estampes, L. 100: I. Pagodes (modérément animé)",11002
Claude Debussy,"Images, Book 1: No. 1. Reflets dans l'eau (Reflections in the water)",320293
Claude Debussy,Images: No. 3. Rondes de printemps,149656
Claude Debussy,"L'isle joyeuse, L. 106",375186
Claude Debussy,"La boîte à joujoux, L. 128: I. Le magasin de jouets",662040
Claude Debussy,"La mer, L. 109: II. Jeux de vagues",425520
Claude Debussy,"Le martyre de saint Sébastien, Fragments symphoniques, L. 124: No. 1, La cour de lys",230893
Claude Debussy,"Nocturnes, CD 98: I. Nuages",17633
Claude Debussy,"Nocturnes, L. 91: 1. Nuages",13531
Claude Debussy,Nocturnes: No. 1. Nuages,497400
Claude Debussy,"Preludes, Book 1: No. 10: La cathedrale engloutie",352026
