artist,track,msPlayed,track_id,flag
Bad Company,Deal with the Preacher - 2015 Remaster,302360,0WlT5aDpGFdldXrSc5fVSc,3
Bad Company,Electricland - 2009 Remaster,326933,7gpKIQOcbGsSVfJUWhYUvm,2
Bad Company,Knapsack (The Happy Wanderer) - 2017 Remaster,19979,3to4tbGBKQDslYm2X7FFVD,3
Bad Company,Leaving You - 2017 Remaster,204200,29CeRixPlIm1czGABXpm7p,4
Bad Company,Like Water - 2017 Remaster,107295,396XBfS2VdrK9Vsqkaibtg,3
Bad Company,Morning Sun - 2017 Remaster,247680,5enpSNP98xx2r8DkwwzNmH,3
Bad Company,Nuthin' on the TV - 2009 Remaster,1402,3iOJicJ5c4snh3INCNm6we,1
Bad Company,Untie the Knot - 2009 Remaster,54580,0RnqxEVDyAPAE5mnvagXzP,1
Badfinger,I'd Die Babe - Remastered 2010,3245,5CmGnAY7I7Ggj303HZBbkX,2
Bakerloo,Drivin' Bachwards - 2013 Remaster,15433,4xMEhkvqVFO8FTuldGJNRy,1
Balanescu Quartet,Interlude,59421,6dVhiHTmirYyACPKeB7giM,1
Ballaké Sissoko,Guelen,7435,2glWeR2NkywIUE7zzMR6Xb,1
Ballaké Sissoko,Prélude,72213,46wFgbEuiX3YDn56wXwMLx,1
Banchee,Beautifully Day,308349,1vQ8NpodyvqO2UgLt6v3tv,1
Banchee,Tom's Island,103975,4E533mdhN92KqfRasFfG1G,1
Banco Del Mutuo Soccorso,Canto nomade per un prigioniero politico,947093,2GxKnXFbHiHiMA1bY3YwyF,2
Banco Del Mutuo Soccorso,Dopo...niente e' più lo stesso,594400,5lKZtNPymGyq2azOhsFiba,2
Banco Del Mutuo Soccorso,In volo,133760,3FjdaxrB9vUSdcN9wHLjQD,2
Banco Del Mutuo Soccorso,La città sottile,433226,5RCe5HZC7IePSjkaqM8Cw0,1
Banco Del Mutuo Soccorso,Non mi rompete,307106,7icBHaW3qRpLXyskqQ7O9Y,4
Banco Del Mutuo Soccorso,Traccia,124213,7yQa2ICGpnPSaavGXpsw1C,7
Banco Del Mutuo Soccorso,Traccia II,159226,4LehhfZcPBCC2NNrJoTHWJ,3
Band Of Skulls,I Know What I Am,2957,1NmwD4CJILAT5KXYKv9zfZ,3
Barry McGuire,Yesterday,6380,6r1lfSSawF0azUjFiFA51l,2
Be Bop Deluxe,Crying To The Sky - 2018 Remaster,1214,5kMtIIn6IdHO6zTg9YeBwd,1
Beastie Boys,Song For Junior - Remastered 2009,229786,3EJweHq5GBpdeMIHmBAi6v,1
Beck,Devils Haircut,192933,47OEl1PttAFxNEf9KRmx23,2
Beck,Gamma Ray,176920,2iWfZFAF8BCi0CY4NyuP8D,2
Beck,Loser,56252,5PntSbMHC1ud6Vvl8x56qd,9
Beggars Opera,Lament,9074,3yd1QVAAAzfi6UIkvn12O3,1
Belle and Sebastian,The Boy With the Arab Strap,314066,2PV8oZJo3K3bXENO7FRRtp,6
Berky,Freier Fall,2074,4Uk19hBLA5uRIuxVoVLPti,1
Bettina Wegner,Sind so kleine Hände (Kinder),11007,6bk8GFFCxxeHFGd5P9dpa3,2
Bibi Rezende,Stairway to Dogs,88775,x,0
